Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
15-Feb-2018			Biology, Medicine and Health	Julie Samson	R	None	None	Introduction to Python	Set up quicker and Give Files beforehand 	Creating Loops			4
15-Feb-2018			Humanities	StaffNet Learning and Development page	Python, R	None	Training examples	Introduction to HPC (using CSF and DPSF)	More on creating workflows	Scheduling of jobs v resources selected			4
15-Feb-2018			Science and Engineering	A University email list	R	Git	Comments	Introduction to Python	Provided longer exercises to do	Setting working directories			4
15-Feb-2018			Biology, Medicine and Health	DTP co-ordinator (Julie Samson)	R	None	None	Introduction to Python	Quicker setup time - would have been better to have file download link in permanent view rather than on a slide we quickly moved on from	The thinking behind creating loops	Good range of topics covered		4
20-Feb-2018			Science and Engineering	NERC courses	MATLAB, Fortran	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Defensive programming, Code reviews	Programming in Python	The students could have some more time in between the episodes to consolidate the knowledge	the mask method			4
20-Feb-2018			Science and Engineering	A University email list	MATLAB, Python, R	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Would have been nice to go over common oceanography analyses (like EOFs, power spectra, etc.)	most common libraries and what they are typically used for	Advantages of python over other languages in terms of data analysis		3
20-Feb-2018			Science and Engineering	NERC course list	MATLAB, Fortran	Subversion	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Defensive programming, Code reviews	Programming in MATLAB	I would like some more time between the episodes for consolidating knowledge	The mask method			4
20-Feb-2018			Science and Engineering	DTP administrator	MATLAB, Python	None	None	Programming in Python	Would have like some case studies, time permitting 	dictionaries, having never used them before 			3
20-Feb-2018			Science and Engineering	DTP	MATLAB, Fortran, Python, Bash	Git, Subversion	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming	Programming in Python	don't spend as much time on the python basics	n/a			3
20-Feb-2018			Science and Engineering	Julie Samson	MATLAB, Python, Igor	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Defensive programming, Code reviews	Programming in Python	"""We never get coffee and biscuits""
Still to basic. Expected deeper Python coding"	Astropy modul, because it was interesting. The rest was already known	classes	No	3
20-Feb-2018			Science and Engineering	A University email list	Python	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming, Code reviews	Programming in Python	Introduce proficiency requirements to set a base knowledge level expected	Dictionaries, but much more!	Object Oriented Programming	The early part of the day was far too basic for me.	2
20-Feb-2018			Science and Engineering	A University email list	MATLAB, Python	Git, bitbucket	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	The lesson structure is effective as it is.	Using pandas wasn't covered during the lesson.			4
20-Feb-2018			Science and Engineering	A University email list	Python, R, Bash, NCL	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	More focus on using a dataset to produce end goals. Just being shown code and copying it down doesn't do much in the long run - and even in the challenges we did, not enough time was given to actually have a good attempt.	Dictionaries.	Array manipulation in particular three dimensional arrays.	More time to work through stuff on our own, less time just listening. Was difficult to not phase out (especially with the unit module at the end), and the basics for the initial hour was probably not necessary considering most of us have used Python before. 	2
20-Feb-2018			Science and Engineering	A University email list	Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Defensive programming	Programming in Python	The start felt very basic, so for me it would have been better to spend more time on the later topics	I think I followed everything	"pandas and more ""good programming practice"""	The later sections were very interesting, so more of that would be cool	4
20-Feb-2018			Science and Engineering	A University email list	MATLAB, Python, R	None	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Unit testing, Defensive programming	Programming in Python	Be significantly more interactive. Simply copying off the board wasn't very memorable, and the challenges were often brushed over extremely fast such that it felt like a little like 5 hour lecture.	None required	Data analysis, saying good coding practises as we went along	"Some advertising of what the course would contain in advance so that a certain level of coding could be assumed at the start. 
Units section was interesting
Would probably market the course as an intermediate rather than advanced"	2
20-Feb-2018			Science and Engineering	A University email list	None	None	None	Introduction to Python	some parts were too done quickly	units - covered well but very useful!	n/a	more appropriate data for environment scientists	4
21-Feb-2018			Science and Engineering	A University email list	MATLAB, Python	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	Maybe a bit more time for the challenges	pyplot	Quite happy with what was covered	This was a pretty useful lecture	5
21-Feb-2018			Science and Engineering	A University email list	MATLAB, Fortran, C/C++, Python	Git	Comments, Sub-programs (e.g. functions, subroutines, methods, procedures), Code reviews	Version control with Git and GitHub	N/A	N/A			5
21-Feb-2018			PSS	StaffNet Learning and Development page	None	Git	None	Version control with Git and GitHub	All good.	N/A			5
21-Feb-2018			Humanities	Research IT newsletter (researchitnews.org)	R	Git	Comments	Data analysis using R	none	none		 There should have a reminder for the beginner that is not suitable for this training. 	4
21-Feb-2018			PSS	Word of mouth	C# 	None	Sub-programs (e.g. functions, subroutines, methods, procedures)	Version control with Git and GitHub	Nothing!	Rebasing 	None covered all I expected it to 	Enjoyable and informative!	5
